Name,A,B,CDHSi,G,D,CDHSs,CDHS,Cls
Kepler-482 b,0.9,0.1,2.2672,0.1,0.9,0.8611,2.2531,non-habitable
Kepler-484 b,0.9,0.1,2.1764,0.1,0.9,1.6222,2.1709,non-habitable
Kepler-496 b,0.9,0.1,2.2254,0.1,0.9,1.6058,2.2192,non-habitable
Kepler-499 b,0.8,0.2,1.9907,0.1,0.9,1.7826,1.9886,non-habitable
Kepler-504 b,0.9,0.1,1.5283,0.1,0.9,0.8055,1.5211,non-habitable
Kepler-507 b,0.8,0.2,1.2235,0.1,0.9,2.4907,1.2362,non-habitable
Kepler-508 b,0.9,0.1,1.5744,0.1,0.9,1.4116,1.5728,non-habitable
Kepler-509 b,0.9,0.1,2.3982,0.1,0.9,1.3176,2.3874,non-habitable
Kepler-510 b,0.9,0.1,2.3679,0.1,0.9,1.7085,2.3613,non-habitable
Kepler-513 b,0.9,0.1,2.1072,0.1,0.9,1.3254,2.0994,non-habitable
Kepler-514 b,0.9,0.1,1.6406,0.1,0.9,2.3175,1.6474,non-habitable
Kepler-515 b,0.9,0.1,1.4086,0.1,0.9,1.1577,1.4061,non-habitable
Kepler-518 b,0.9,0.1,2.0193,0.1,0.9,1.7284,2.0164,non-habitable
Kepler-519 b,0.9,0.1,2.0006,0.1,0.9,1.1433,1.992,non-habitable
Kepler-520 b,0.9,0.1,1.5931,0.1,0.9,1.4617,1.5918,non-habitable
Kepler-520 c,0.9,0.1,1.0416,0.2,0.8,0.9926,1.0411,non-habitable
Kepler-523 b,0.9,0.1,1.8753,0.1,0.9,1.7998,1.8745,non-habitable
Kepler-524 b,0.9,0.1,1.8192,0.1,0.9,1.9174,1.8202,non-habitable
Kepler-524 c,0.9,0.1,0.9495,0.1,0.9,2.6519,0.9665,non-habitable
Kepler-526 b,0.8,0.2,1.8219,0.1,0.9,2.134,1.825,non-habitable
Kepler-528 b,0.9,0.1,1.9905,0.1,0.9,1.452,1.9851,non-habitable
Kepler-529 b,0.8,0.2,1.7039,0.1,0.9,2.9434,1.7163,non-habitable
Kepler-529 c,0.9,0.1,1.9041,0.1,0.9,1.7348,1.9024,non-habitable
Kepler-534 b,0.9,0.1,2.1461,0.1,0.9,1.5214,2.1399,non-habitable
Kepler-535 b,0.8,0.2,2.178,0.1,0.9,2.4476,2.1807,non-habitable
Kepler-537 b,0.9,0.1,1.3624,0.1,0.9,2.1944,1.3707,non-habitable
Kepler-538 b,0.9,0.1,2.1663,0.1,0.9,0.9196,2.1538,non-habitable
Kepler-539 c,0.9,0.1,1.3074,0.1,0.9,0.4435,1.2988,non-habitable
Kepler-542 b,0.8,0.2,1.4514,0.1,0.9,1.4081,1.451,non-habitable
Kepler-543 b,0.9,0.1,2.4082,0.1,0.9,1.2048,2.3962,non-habitable
Kepler-544 b,0.9,0.1,2.0294,0.1,0.9,1.5684,2.0248,non-habitable
Kepler-556 b,0.9,0.1,2.1461,0.1,0.9,1.6366,2.141,non-habitable
