Name,A,B,CDHSi,G,D,CDHSs,CDHS,Cls
Kepler-625 c,0.8,0.1,1.0266,0.1,0.8,1.7019,1.0334,non-habitable
Kepler-626 b,0.8,0.1,2.0135,0.1,0.8,1.449,2.0079,non-habitable
Kepler-629 b,0.8,0.1,1.2926,0.1,0.7,1.2608,1.2923,non-habitable
Kepler-632 b,0.8,0.1,1.9559,0.1,0.8,1.0412,1.9468,non-habitable
Kepler-633 b,0.8,0.1,1.4837,0.1,0.8,1.6384,1.4852,non-habitable
Kepler-634 b,0.8,0.1,1.6975,0.1,0.8,2.0041,1.7006,non-habitable
Kepler-638 b,0.8,0.1,1.6501,0.1,0.8,1.5917,1.6495,non-habitable
Kepler-639 b,0.8,0.1,2.089,0.1,0.8,1.7156,2.0853,non-habitable
Kepler-641 b,0.8,0.1,1.6659,0.1,0.8,1.575,1.665,non-habitable
Kepler-645 b,0.8,0.1,1.8584,0.1,0.8,2.2699,1.8625,non-habitable
Kepler-646 b,0.8,0.1,1.7775,0.1,0.8,1.2922,1.7726,non-habitable
Kepler-647 b,0.8,0.1,1.1167,0.1,0.8,1.3075,1.1186,non-habitable
Kepler-649 b,0.8,0.1,1.9967,0.1,0.8,1.1734,1.9885,non-habitable
Kepler-651 b,0.7,0.2,1.9988,0.1,0.8,1.2018,1.9908,non-habitable
Kepler-652 b,0.8,0.1,2.1891,0.1,0.8,1.8153,2.1854,non-habitable
Kepler-653 b,0.8,0.1,1.7461,0.1,0.8,1.4407,1.743,non-habitable
Kepler-653 c,0.1,0.1,0.9551,0.1,0.8,2.6268,0.9718,non-habitable
Kepler-654 b,0.8,0.1,1.8428,0.1,0.8,1.4777,1.8391,non-habitable
Kepler-658 b,0.8,0.1,1.4837,0.1,0.8,1.6653,1.4855,non-habitable
Kepler-659 b,0.8,0.1,2.1974,0.1,0.8,1.1156,2.1866,non-habitable
Kepler-662 b,0.8,0.1,1.9235,0.1,0.8,1.0352,1.9146,non-habitable
Kepler-666 b,0.8,0.1,2.1128,0.1,0.8,1.981,2.1115,non-habitable
Kepler-672 b,0.8,0.1,2.1974,0.1,0.8,1.0868,2.1863,non-habitable
Kepler-674 b,0.8,0.1,1.539,0.1,0.8,1.4591,1.5382,non-habitable
Kepler-675 b,0.8,0.1,2.1474,0.1,0.8,1.8697,2.1446,non-habitable
Kepler-680 b,0.8,0.1,2.1295,0.1,0.8,2.1209,2.1294,non-habitable
Kepler-683 b,0.8,0.1,1.7618,0.1,0.8,2.1005,1.7652,non-habitable
Kepler-691 b,0.8,0.1,1.85,0.1,0.8,0.9698,1.8412,non-habitable
Kepler-705 b,0.8,0.1,1.874,0.1,0.8,0.6238,1.8615,mesoplanet
