Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
Kepler-917 b,0.8,0.2,1.7417,49,0.1,0.9,2.0749,49,1.745,non-habitable
Kepler-918 b,0.9,0.1,1.668,49,0.1,0.9,2.2129,49,1.6734,non-habitable
Kepler-919 b,0.9,0.1,2.1562,52,0.1,0.9,1.8853,52,2.1535,non-habitable
Kepler-920 b,0.9,0.1,2.3262,49,0.1,0.9,1.7825,50,2.3208,non-habitable
Kepler-922 b,0.8,0.2,1.3238,50,0.1,0.9,3.0811,52,1.3414,non-habitable
Kepler-923 b,0.9,0.1,1.3349,51,0.2,0.8,1.0244,49,1.3318,non-habitable
Kepler-925 b,0.9,0.1,2.2456,49,0.2,0.8,0.5727,49,2.2289,non-habitable
Kepler-926 b,0.9,0.1,2.2153,49,0.1,0.9,1.11,49,2.2042,non-habitable
Kepler-927 b,0.7,0.3,1.5102,49,0.2,0.8,0.9083,49,1.5042,non-habitable
Kepler-928 b,0.8,0.2,1.4689,49,0.1,0.9,1.6109,49,1.4703,non-habitable
Kepler-929 b,0.9,0.1,1.087,50,0.2,0.8,1.504,52,1.0912,non-habitable
Kepler-930 b,0.9,0.1,2.0395,49,0.1,0.9,1.1953,51,2.0311,non-habitable
Kepler-931 b,0.9,0.1,1.2887,49,0.1,0.9,1.4603,49,1.2904,non-habitable
Kepler-932 b,0.9,0.1,1.3249,49,0.1,0.9,2.2801,53,1.3345,non-habitable
Kepler-933 b,0.9,0.1,2.3579,49,0.1,0.9,1.4216,49,2.3485,non-habitable
Kepler-934 b,0.9,0.1,1.9905,51,0.1,0.9,0.8727,49,1.9793,non-habitable
Kepler-935 b,0.9,0.1,1.2974,51,0.1,0.9,1.5255,49,1.2997,non-habitable
Kepler-936 b,0.9,0.1,1.3898,49,0.1,0.9,1.4646,49,1.3905,non-habitable
Kepler-938 b,0.9,0.1,2.1274,51,0.1,0.9,1.0151,49,2.1163,non-habitable
Kepler-939 b,0.9,0.1,1.6766,49,0.1,0.9,1.3485,49,1.6733,non-habitable
Kepler-942 b,0.9,0.1,2.0395,52,0.1,0.9,0.8977,51,2.0281,non-habitable
Kepler-946 b,0.9,0.1,1.8465,49,0.1,0.9,1.552,51,1.8436,non-habitable
Kepler-947 b,0.9,0.1,2.1764,49,0.1,0.9,1.2127,53,2.1668,non-habitable
Kepler-948 b,0.9,0.1,1.7716,50,0.1,0.9,1.7416,49,1.7713,non-habitable
Kepler-953 c,0.9,0.1,1.1598,51,0.1,0.9,1.5327,52,1.1635,non-habitable
Kepler-954 b,0.9,0.1,2.2254,52,0.1,0.9,1.2249,49,2.2154,non-habitable
Kepler-958 b,0.9,0.1,1.9718,49,0.3,0.7,0.4839,49,1.9569,non-habitable
Kepler-960 b,0.9,0.1,2.1865,50,0.1,0.9,1.8534,51,2.1832,non-habitable
Kepler-962 b,0.9,0.1,1.8854,49,0.1,0.9,1.4576,50,1.8811,non-habitable
Kepler-964 b,0.9,0.1,2.0294,49,0.1,0.9,1.4044,50,2.0232,non-habitable
Kepler-967 b,0.9,0.1,2.2571,49,0.1,0.9,1.3778,49,2.2483,non-habitable
Kepler-968 b,0.9,0.1,1.9041,49,0.1,0.9,1.6592,49,1.9017,non-habitable
Kepler-968 c,0.9,0.1,1.6219,49,0.1,0.9,1.4272,49,1.62,non-habitable
Kepler-969 b,0.9,0.1,1.9819,49,0.1,0.9,1.0374,49,1.9725,non-habitable
Kepler-969 c,0.9,0.1,0.9762,49,0.1,0.9,2.1871,49,0.9883,non-habitable
Kepler-971 b,0.9,0.1,2.0395,51,0.1,0.9,1.5695,49,2.0348,non-habitable
Kepler-973 b,0.9,0.1,1.8753,51,0.1,0.9,0.9172,49,1.8657,non-habitable
Kepler-974 b,0.9,0.1,1.5095,49,0.1,0.9,1.168,49,1.5061,non-habitable
Kepler-975 b,0.9,0.1,1.4259,49,0.1,0.9,2.0488,49,1.4321,non-habitable
Kepler-981 b,0.9,0.1,2.2153,49,0.1,0.9,2.1468,49,2.2146,non-habitable
Kepler-982 b,0.9,0.1,2.1562,49,0.1,0.9,1.7548,49,2.1522,non-habitable
Kepler-983 b,0.9,0.1,2.2672,49,0.1,0.9,1.1235,49,2.2558,non-habitable
Kepler-984 b,0.9,0.1,2.0294,51,0.1,0.9,1.0877,50,2.02,non-habitable
Kepler-986 b,0.9,0.1,2.2672,49,0.3,0.7,0.3788,49,2.2483,non-habitable
Kepler-988 b,0.9,0.1,1.9819,49,0.1,0.9,0.8976,49,1.9711,non-habitable
Kepler-989 b,0.9,0.1,2.1173,53,0.1,0.9,1.5306,50,2.1114,non-habitable
Kepler-990 c,0.9,0.1,1.4634,49,0.1,0.9,4.0241,49,1.489,non-habitable
Kepler-992 b,0.9,0.1,1.5571,49,0.1,0.9,1.0747,49,1.5523,non-habitable
Kepler-994 b,0.9,0.1,1.5383,49,0.1,0.9,1.8279,50,1.5412,non-habitable
Kepler-996 b,0.9,0.1,1.8955,49,0.1,0.9,2.4332,53,1.9009,non-habitable
Kepler-997 b,0.9,0.1,1.3162,49,0.1,0.9,2.9168,49,1.3322,non-habitable
Kepler-998 b,0.9,0.1,2.2254,49,0.1,0.9,2.2634,49,2.2258,non-habitable
Kepler-999 b,0.9,0.1,2.2456,50,0.1,0.9,2.5907,50,2.2491,non-habitable
Kepler-1002 b,0.9,0.1,1.6406,51,0.1,0.9,2.6318,50,1.6505,non-habitable
Kepler-1003 b,0.9,0.1,1.7054,50,0.1,0.9,2.4888,50,1.7132,non-habitable
Kepler-1005 b,0.9,0.1,1.4447,49,0.3,0.7,0.5121,50,1.4354,non-habitable
Kepler-1006 b,0.9,0.1,1.4735,49,0.1,0.9,1.1442,52,1.4702,non-habitable
Kepler-1007 b,0.9,0.1,1.3811,50,0.1,0.9,1.4354,49,1.3816,non-habitable
Kepler-1008 b,0.9,0.1,1.2424,49,0.1,0.9,1.2363,49,1.2423,non-habitable
Kepler-1009 b,0.9,0.1,2.0784,49,0.2,0.8,0.6177,49,2.0638,non-habitable
Kepler-1010 b,0.9,0.1,2.2254,50,0.1,0.9,1.0769,50,2.2139,non-habitable
Kepler-1012 b,0.9,0.1,1.2524,49,0.1,0.9,1.7667,49,1.2575,non-habitable
Kepler-1013 b,0.9,0.1,2.0582,49,0.1,0.9,1.1622,49,2.0492,non-habitable
Kepler-1014 b,0.9,0.1,2.296,50,0.1,0.9,1.3608,49,2.2866,non-habitable
Kepler-1016 b,0.9,0.1,2.0784,49,0.3,0.7,0.7777,49,2.0654,non-habitable
Kepler-1017 b,0.9,0.1,1.9041,50,0.1,0.9,1.6952,49,1.902,non-habitable
Kepler-1019 b,0.9,0.1,1.4086,49,0.1,0.9,2.0044,50,1.4146,non-habitable
Kepler-1020 b,0.9,0.1,2.1764,49,0.1,0.9,0.7998,49,2.1626,non-habitable
Kepler-1021 b,0.9,0.1,2.2355,49,0.1,0.9,1.4555,49,2.2277,non-habitable
Kepler-1022 b,0.9,0.1,2.2672,49,0.1,0.9,1.2236,50,2.2568,non-habitable
Kepler-1025 b,0.9,0.1,1.8955,49,0.1,0.9,1.2743,49,1.8893,non-habitable
Kepler-1026 b,0.9,0.1,2.1173,49,0.2,0.8,0.5796,49,2.1019,non-habitable
Kepler-1027 b,0.8,0.2,0.8719,49,0.1,0.9,2.1603,49,0.8848,non-habitable
Kepler-1028 b,0.9,0.1,1.2887,49,0.1,0.9,2.1895,49,1.2977,non-habitable
Kepler-1029 b,0.9,0.1,1.2149,50,0.1,0.9,1.6356,49,1.2191,non-habitable
Kepler-1030 b,0.9,0.1,2.3867,49,0.1,0.9,1.1975,49,2.3748,non-habitable
Kepler-1031 b,0.9,0.1,0.867,49,0.1,0.9,3.0004,53,0.8883,non-habitable
Kepler-1032 b,0.9,0.1,1.7903,49,0.1,0.9,1.7192,49,1.7896,non-habitable
Kepler-1034 b,0.9,0.1,2.1663,49,0.1,0.9,1.4078,49,2.1587,non-habitable
Kepler-1035 b,0.9,0.1,1.1334,49,0.1,0.9,2.2608,52,1.1447,non-habitable
Kepler-1037 b,0.9,0.1,1.2424,49,0.1,0.9,2.5258,50,1.2552,non-habitable
Kepler-1039 b,0.9,0.1,1.4086,53,0.1,0.9,2.5166,49,1.4197,non-habitable
Kepler-1040 b,0.9,0.1,1.9905,51,0.1,0.9,0.7332,49,1.9779,non-habitable
Kepler-1042 b,0.9,0.1,2.0885,49,0.1,0.9,1.3378,50,2.081,non-habitable
Kepler-1046 b,0.9,0.1,1.6406,49,0.2,0.8,0.8377,50,1.6326,non-habitable
Kepler-1047 b,0.9,0.1,1.9905,49,0.1,0.9,1.0966,49,1.9816,non-habitable
Kepler-1047 c,0.9,0.1,0.9762,49,0.2,0.8,1.0745,50,0.9772,non-habitable
Kepler-1048 b,0.7,0.3,1.4283,49,0.1,0.9,1.357,49,1.4276,non-habitable
Kepler-1049 b,0.9,0.1,0.9406,53,0.1,0.9,1.2054,51,0.9432,non-habitable
Kepler-1050 b,0.9,0.1,1.5383,49,0.1,0.9,1.5629,49,1.5385,non-habitable
Kepler-1050 c,0.9,0.1,1.4259,51,0.1,0.9,1.4111,49,1.4258,non-habitable
Kepler-1053 b,0.9,0.1,0.9584,49,0.1,0.9,1.6626,49,0.9654,non-habitable
Kepler-1055 b,0.9,0.1,1.1974,49,0.1,0.9,2.3454,49,1.2089,non-habitable
Kepler-1059 b,0.8,0.2,1.5814,49,0.1,0.9,1.7279,50,1.5829,non-habitable
Kepler-1060 b,0.9,0.1,2.2773,50,0.1,0.9,1.1415,53,2.2659,non-habitable
Kepler-1061 b,0.8,0.2,1.8146,50,0.1,0.9,2.6117,49,1.8226,non-habitable
Kepler-1062 b,0.9,0.1,1.6867,50,0.1,0.9,1.2536,49,1.6824,non-habitable
Kepler-1063 b,0.8,0.2,1.3839,50,0.1,0.9,1.5769,50,1.3858,non-habitable
Kepler-1064 b,0.9,0.1,1.4908,49,0.1,0.9,1.1893,49,1.4878,non-habitable
Kepler-1065 c,0.8,0.2,1.479,50,0.1,0.9,2.3801,49,1.488,non-habitable
Kepler-1066 b,0.9,0.1,2.2672,49,0.1,0.9,2.7908,49,2.2724,non-habitable
Kepler-1067 b,0.2,0.8,0.816,49,0.1,0.9,3.0096,50,0.8379,non-habitable
Kepler-1069 b,0.9,0.1,1.5383,51,0.2,0.8,0.6935,49,1.5299,non-habitable
Kepler-1070 b,0.9,0.1,1.6492,49,0.1,0.9,2.2389,49,1.6551,non-habitable
Kepler-1071 b,0.9,0.1,2.2773,49,0.1,0.9,1.7232,52,2.2718,non-habitable
Kepler-1072 b,0.9,0.1,1.5196,51,0.1,0.9,3.2787,49,1.5372,non-habitable
Kepler-1073 b,0.9,0.1,2.2052,49,0.1,0.9,1.8198,49,2.2013,non-habitable
Kepler-1073 c,0.9,0.1,1.5744,49,0.1,0.9,2.1453,49,1.5801,non-habitable
Kepler-1074 b,0.9,0.1,1.2149,52,0.1,0.9,1.136,49,1.2141,non-habitable
Kepler-1075 b,0.9,0.1,1.3711,49,0.1,0.9,1.666,49,1.374,non-habitable
