Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
Kepler-1348 b,0.8,0.1,1.7375,49,0.1,0.7,1.1067,51,1.7312,non-habitable
Kepler-1349 b,0.1,0.1,0.9411,50,0.1,0.8,2.2112,50,0.9538,non-habitable
Kepler-1350 c,0.7,0.1,1.4797,51,0.1,0.8,1.4268,49,1.4792,non-habitable
Kepler-1351 b,0.1,0.2,0.9114,50,0.1,0.8,1.7701,51,0.92,non-habitable
Kepler-1352 b,0.2,0.1,0.9579,49,0.1,0.8,2.2841,49,0.9712,non-habitable
Kepler-1353 b,0.8,0.1,1.6257,49,0.1,0.8,0.9462,49,1.6189,non-habitable
Kepler-1355 b,0.8,0.1,1.3563,49,0.1,0.8,2.1867,49,1.3646,non-habitable
Kepler-1356 b,0.8,0.1,1.4034,50,0.1,0.8,2.5138,50,1.4145,non-habitable
Kepler-1357 b,0.8,0.1,1.2121,53,0.1,0.8,1.8303,49,1.2183,non-habitable
Kepler-1358 b,0.7,0.1,1.0712,50,0.1,0.8,1.3143,50,1.0736,non-habitable
Kepler-1361 b,0.1,0.1,0.9668,49,0.1,0.7,1.3252,51,0.9704,non-habitable
Kepler-1363 b,0.8,0.1,1.1881,53,0.1,0.8,1.5449,49,1.1917,non-habitable
Kepler-1364 b,0.7,0.2,1.8252,49,0.1,0.8,1.9247,49,1.8262,non-habitable
Kepler-1365 b,0.2,0.1,0.9676,50,0.1,0.7,1.3116,51,0.971,non-habitable
Kepler-1365 c,0.1,0.1,0.9587,51,0.1,0.7,1.4355,49,0.9635,non-habitable
Kepler-1366 b,0.8,0.1,1.3326,52,0.1,0.8,1.4264,51,1.3335,non-habitable
Kepler-1367 b,0.1,0.1,0.9757,49,0.1,0.8,1.469,52,0.9806,non-habitable
Kepler-1368 b,0.8,0.1,1.507,52,0.1,0.8,3.0716,49,1.5226,non-habitable
Kepler-1370 b,0.7,0.2,1.5867,52,0.1,0.7,1.281,50,1.5836,non-habitable
Kepler-1370 c,0.8,0.1,1.2045,49,0.1,0.8,1.7437,50,1.2099,non-habitable
Kepler-1371 b,0.1,0.1,0.9476,49,0.1,0.8,1.5552,50,0.9537,non-habitable
Kepler-1371 c,0.1,0.1,0.9329,49,0.1,0.8,1.7614,49,0.9412,non-habitable
Kepler-1372 b,0.8,0.1,1.2045,50,0.1,0.8,2.344,51,1.2159,non-habitable
Kepler-1373 b,0.8,0.1,1.1078,49,0.1,0.8,2.7756,50,1.1245,non-habitable
Kepler-1374 b,0.7,0.2,1.931,50,0.1,0.8,1.3578,49,1.9253,non-habitable
Kepler-1375 b,0.8,0.1,1.5781,50,0.1,0.8,2.6359,49,1.5887,non-habitable
Kepler-1376 b,0.8,0.1,1.0266,49,0.1,0.8,1.589,50,1.0322,non-habitable
Kepler-1377 b,0.7,0.1,1.1618,50,0.1,0.8,2.4239,49,1.1744,non-habitable
Kepler-1378 b,0.8,0.1,1.9475,53,0.1,0.8,1.0866,49,1.9389,non-habitable
Kepler-1379 b,0.8,0.1,1.2285,50,0.1,0.8,2.2927,49,1.2391,non-habitable
Kepler-1380 b,0.8,0.1,1.3326,49,0.1,0.8,1.3678,50,1.333,non-habitable
Kepler-1381 b,0.6,0.3,1.826,50,0.1,0.8,1.2028,51,1.8198,non-habitable
Kepler-1382 b,0.8,0.1,1.6903,50,0.1,0.8,1.6493,49,1.6899,non-habitable
Kepler-1383 b,0.7,0.2,1.2719,50,0.1,0.8,1.5936,49,1.2751,non-habitable
Kepler-1384 b,0.7,0.2,1.6628,51,0.1,0.8,1.1086,50,1.6573,non-habitable
Kepler-1385 b,0.1,0.1,0.9657,51,0.1,0.7,1.7068,49,0.9731,non-habitable
Kepler-1386 b,0.8,0.1,1.1805,50,0.1,0.8,1.5711,49,1.1844,non-habitable
Kepler-1387 b,0.1,0.1,0.9768,49,0.1,0.8,1.6667,49,0.9837,non-habitable
Kepler-1388 c,0.8,0.1,1.9967,50,0.1,0.8,1.2253,49,1.989,non-habitable
Kepler-1388 e,0.8,0.1,2.1558,53,0.1,0.7,0.7665,50,2.1419,non-habitable
Kepler-1389 b,0.8,0.1,1.6026,50,0.1,0.8,0.7084,50,1.5937,non-habitable
Kepler-1390 b,0.8,0.1,1.1321,49,0.1,0.6,1.2136,49,1.1329,non-habitable
Kepler-1391 b,0.8,0.1,1.5303,50,0.1,0.7,0.9436,53,1.5244,non-habitable
Kepler-1392 b,0.8,0.1,1.7532,52,0.1,0.8,1.2529,49,1.7482,non-habitable
Kepler-1393 b,0.1,0.1,0.9587,51,0.1,0.8,1.8557,51,0.9677,non-habitable
Kepler-1394 b,0.8,0.1,1.3001,49,0.1,0.7,2.2284,49,1.3094,non-habitable
Kepler-1395 b,0.1,0.1,0.9587,49,0.1,0.7,1.6371,49,0.9655,non-habitable
Kepler-1396 b,0.8,0.1,1.8428,50,0.1,0.7,1.3313,49,1.8377,non-habitable
Kepler-1397 b,0.7,0.2,1.4918,51,0.1,0.8,1.0686,50,1.4876,non-habitable
Kepler-1398 b,0.2,0.1,0.9622,49,0.1,0.7,1.7596,49,0.9702,non-habitable
Kepler-1398 c,0.7,0.1,1.0079,49,0.1,0.8,1.9032,50,1.0169,non-habitable
Kepler-1399 b,0.8,0.1,1.1881,49,0.1,0.7,1.878,49,1.195,non-habitable
Kepler-1400 b,0.8,0.1,1.4837,49,0.1,0.8,1.2667,49,1.4815,non-habitable
Kepler-1401 b,0.8,0.1,1.5303,49,0.1,0.8,1.5126,51,1.5301,non-habitable
Kepler-1402 b,0.1,0.2,0.9328,49,0.1,0.8,1.8324,49,0.9418,non-habitable
Kepler-1403 b,0.7,0.2,1.8166,49,0.1,0.6,1.4723,50,1.8132,non-habitable
Kepler-1404 b,0.8,0.1,1.786,49,0.1,0.7,1.0921,49,1.7791,non-habitable
Kepler-1406 b,0.8,0.1,1.0679,52,0.1,0.8,1.4113,50,1.0713,non-habitable
Kepler-1407 b,0.8,0.1,1.9883,50,0.1,0.8,1.3976,49,1.9824,non-habitable
Kepler-1408 b,0.1,0.1,0.9702,49,0.1,0.8,2.1351,49,0.9818,non-habitable
Kepler-1409 b,0.8,0.1,1.0188,50,0.1,0.7,1.9337,51,1.0279,non-habitable
Kepler-1410 b,0.8,0.1,1.6098,49,0.1,0.8,0.6543,51,1.6002,mesoplanet
Kepler-1412 b,0.1,0.1,0.9623,50,0.1,0.8,1.929,50,0.972,non-habitable
Kepler-1413 b,0.8,0.1,1.6343,50,0.1,0.8,1.2099,53,1.6301,non-habitable
Kepler-1414 b,0.8,0.1,1.1728,51,0.1,0.8,1.5116,49,1.1762,non-habitable
Kepler-1415 b,0.8,0.1,1.221,50,0.1,0.7,2.1284,50,1.2301,non-habitable
Kepler-1416 b,0.1,0.1,0.9702,53,0.1,0.7,1.9926,50,0.9804,non-habitable
Kepler-1417 b,0.3,0.1,0.9862,49,0.1,0.7,1.0613,49,0.987,non-habitable
Kepler-1418 b,0.8,0.1,1.5143,49,0.1,0.8,0.9528,49,1.5087,non-habitable
Kepler-1420 b,0.7,0.1,1.1825,51,0.1,0.8,1.3582,51,1.1843,non-habitable
Kepler-1421 b,0.2,0.1,0.9697,49,0.1,0.8,1.7924,49,0.9779,non-habitable
Kepler-1422 b,0.7,0.2,1.724,49,0.1,0.7,1.3091,50,1.7199,non-habitable
