Name,A,B,CDHSi,Conv_i,G,D,CDHSs,Conv_s,CDHS,Cls
Kepler-265 d,0.9,0.1,2.3982,51,0.3,0.7,0.4382,49,2.3786,non-habitable
Kepler-266 b,0.9,0.1,2.3867,50,0.1,0.9,2.0237,49,2.3831,non-habitable
Kepler-267 b,0.9,0.1,1.8955,50,0.1,0.9,1.5003,49,1.8915,non-habitable
Kepler-267 c,0.9,0.1,2.0395,49,0.1,0.9,1.2404,53,2.0315,non-habitable
Kepler-267 d,0.9,0.1,2.1764,50,0.1,0.9,0.8564,49,2.1632,non-habitable
Kepler-269 b,0.9,0.1,2.3679,49,0.1,0.9,2.0825,50,2.365,non-habitable
Kepler-269 c,0.7,0.3,1.4938,50,0.1,0.9,1.7267,49,1.4961,non-habitable
Kepler-270 b,0.9,0.1,1.9142,49,0.1,0.9,1.9464,53,1.9145,non-habitable
Kepler-270 c,0.9,0.1,1.6968,49,0.1,0.9,1.5255,50,1.6951,non-habitable
Kepler-271 b,0.6,0.4,0.8638,52,0.1,0.9,1.6984,53,0.8721,non-habitable
Kepler-271 c,0.9,0.1,0.9862,52,0.1,0.9,1.556,49,0.9919,non-habitable
Kepler-272 b,0.9,0.1,1.3811,49,0.1,0.9,2.1173,53,1.3885,non-habitable
Kepler-272 c,0.9,0.1,1.7155,49,0.1,0.9,1.7837,50,1.7162,non-habitable
Kepler-272 d,0.9,0.1,2.1562,49,0.1,0.9,1.5641,53,2.1503,non-habitable
Kepler-273 b,0.9,0.1,1.4447,52,0.4,0.6,0.2897,50,1.4332,non-habitable
Kepler-273 c,0.7,0.3,1.7371,50,0.1,0.9,1.6663,50,1.7364,non-habitable
Kepler-274 b,0.9,0.1,1.4735,53,0.1,0.9,1.6221,49,1.475,non-habitable
Kepler-274 c,0.8,0.2,1.6864,50,0.1,0.9,1.2379,49,1.6819,non-habitable
Kepler-275 b,0.6,0.4,1.9846,50,0.1,0.9,2.0566,49,1.9853,non-habitable
Kepler-276 c,0.9,0.1,2.4731,50,0.1,0.9,1.2081,53,2.4604,non-habitable
Kepler-276 d,0.7,0.3,1.7983,51,0.1,0.9,1.076,50,1.7911,non-habitable
