Name,Cls,r,d,t,v,e,Rho,Eta,CEESA,Iter
K2-57 b,non-habitable,0.2499,0.1572,0.1268,0.3867,0.0794,0.9088,1,1.9313,79
K2-58 c,non-habitable,0.3193,0.0056,0.2935,0.324,0.0576,0.5785,1,2.1208,87
K2-58 d,non-habitable,0.3212,0.0439,0.4083,0.1746,0.052,0.6915,1,1.7329,89
K2-59 b,non-habitable,0.2831,0.1841,0.2726,0.242,0.0182,0.7837,1,2.2366,86
K2-59 c,non-habitable,0.3042,0.0691,0.236,0.3629,0.0279,0.6525,1,2.345,96
K2-61 b,non-habitable,0.0945,0.0723,0.5462,0.282,0.005,0.2983,1,4.1946,97
K2-62 b,non-habitable,0.4612,0.0002,0.3317,0.1999,0.007,0.8073,1,2.3776,89
K2-62 c,non-habitable,0.342,0.0981,0.2582,0.2692,0.0326,0.8723,1,2.0606,82
K2-64 b,non-habitable,0.1491,0.096,0.34,0.3337,0.0812,0.8321,1,2.1912,92
K2-65 b,non-habitable,0.4756,0.0252,0.2562,0.1678,0.0752,0.6153,1,1.5826,93
K2-66 b,non-habitable,0.1072,0.1997,0.3832,0.1783,0.1316,0.9526,1,3.0791,92
K2-68 b,non-habitable,0.3176,0.0869,0.3752,0.1715,0.0488,0.6215,1,1.6992,86
K2-69 b,non-habitable,0.271,0.0227,0.2964,0.3891,0.0208,0.8308,1,2.3535,86
K2-71 b,non-habitable,0.2251,0.1365,0.3248,0.2902,0.0234,0.6364,1,1.9759,87
K2-72 b,non-habitable,0.2903,0.3412,0.3365,0.0104,0.0215,0.4607,1,1.2402,84
K2-72 c,non-habitable,0.4105,0.2633,0.0022,0.3005,0.0235,0.9742,1,1.3112,90
K2-72 d,non-habitable,0.1011,0.0697,0.4216,0.3416,0.066,0.8942,1,1.2457,87
K2-72 e,mesoplanet,0.384,0.0104,0.1804,0.4198,0.0053,0.7774,1,1.3319,82
K2-73 b,non-habitable,0.1355,0.2988,0.2485,0.3094,0.0078,0.3891,1,2.5894,94
K2-74 b,non-habitable,0.0704,0.0747,0.2676,0.5448,0.0426,0.427,1,2.3718,89
K2-77 b,non-habitable,0.2,0.1215,0.2065,0.4352,0.0369,0.5866,1,2.5954,88
K2-78 b,non-habitable,0.045,0.2444,0.2741,0.3167,0.1199,0.9658,1,2.0156,89
K2-80 b,non-habitable,0.0604,0.1583,0.5585,0.1798,0.043,0.4981,1,1.9016,99
K2-80 c,non-habitable,0.1971,0.0221,0.3168,0.1594,0.3045,0.8206,1,1.457,83
K2-81 b,non-habitable,0.4169,0.1881,0.0905,0.2757,0.0288,0.9565,1,1.7435,79
K2-83 b,non-habitable,0.2024,0.2454,0.336,0.1304,0.0858,0.8759,1,1.4014,83
