Name,Cls,A,B,CDHSi,G,D,CDHSs,CDHS,Inn,Sur
Kepler-311 c,non-habitable,0.1479,0.8521,1.43,0.4244,0.5756,1.44,1.4301,66,59
Kepler-312 b,non-habitable,0.5531,0.4469,1.29,0.0401,0.9599,1.26,1.2897,51,45
Kepler-314 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,75,69
Kepler-316 b,non-habitable,0.5943,0.4057,1.06,0.274,0.4729,1.0,1.0594,40,0
Kepler-316 c,non-habitable,0.8318,0.1682,1.15,0.2826,0.7174,1.1,1.1495,50,44
Kepler-317 b,non-habitable,0.0516,0.9484,2.08,0.3884,0.6116,2.41,2.0833,59,66
Kepler-317 c,non-habitable,0.3796,0.6204,1.71,0.1206,0.8794,1.82,1.7111,54,71
Kepler-319 b,non-habitable,0.1108,0.8892,1.62,0.7826,0.2174,1.69,1.6207,56,51
Kepler-319 d,non-habitable,0.8727,0.1273,2.28,0.5916,0.4084,2.8,2.2852,68,51
Kepler-320 b,non-habitable,0.627,0.373,1.14,0.7098,0.2902,1.09,1.1395,55,47
Kepler-320 c,non-habitable,0.0027,0.9973,1.37,0.4914,0.5086,1.35,1.3698,56,53
Kepler-321 b,non-habitable,0.7959,0.2041,1.77,0.8415,0.1585,1.9,1.7713,61,48
Kepler-321 c,non-habitable,0.8527,0.1473,2.32,0.4505,0.5495,2.87,2.3255,67,71
Kepler-322 b,non-habitable,0.9085,0.0915,1.01,0.0,0.0,1.0,1.0099,45,58
Kepler-322 c,non-habitable,0.8565,0.1435,1.67,0.6083,0.3917,1.76,1.6709,46,60
Kepler-323 b,non-habitable,0.2852,0.7148,1.43,0.8203,0.1797,1.44,1.4301,60,65
Kepler-323 c,non-habitable,0.8538,0.1462,1.62,0.3574,0.6426,1.69,1.6207,56,56
Kepler-324 b,non-habitable,0.2357,0.7643,1.14,0.295,0.705,1.09,1.1395,46,50
Kepler-326 b,non-habitable,0.312,0.688,1.52,0.4074,0.5926,1.56,1.5204,55,61
Kepler-326 c,non-habitable,0.833,0.167,1.4,0.7589,0.2411,1.4,1.4,51,50
Kepler-326 d,non-habitable,0.9603,0.0397,1.21,0.7787,0.2213,1.17,1.2096,48,43
Kepler-327 b,non-habitable,0.0277,0.9723,1.11,0.4445,0.5555,1.05,1.1094,42,50
Kepler-327 c,non-habitable,0.6171,0.3829,1.03,0.0,0.0,1.0,1.0297,47,59
Kepler-327 d,non-habitable,0.3197,0.6803,1.72,0.0266,0.9734,1.84,1.7212,36,52
Kepler-328 b,non-habitable,0.1673,0.8327,2.31,0.3635,0.6365,3.08,2.3177,49,65
Kepler-329 b,non-habitable,0.7209,0.2791,1.4,0.1278,0.8722,1.4,1.4,55,48
Kepler-329 c,non-habitable,0.6676,0.3324,1.93,0.6331,0.3669,2.15,1.9322,66,60
Kepler-330 b,non-habitable,0.2853,0.7147,1.34,0.2607,0.7393,1.33,1.3399,47,45
Kepler-330 c,non-habitable,0.77,0.23,1.95,0.2737,0.7263,2.18,1.9523,53,58
Kepler-331 b,non-habitable,0.8028,0.1972,1.81,0.0875,0.9125,1.97,1.8116,62,66
Kepler-331 c,non-habitable,0.6922,0.3078,1.84,0.3417,0.6583,2.0,1.8416,58,62
Kepler-331 d,non-habitable,0.1653,0.8347,1.64,0.583,0.417,1.71,1.6407,62,73
Kepler-332 b,non-habitable,0.1616,0.8384,1.16,0.1162,0.8838,1.11,1.1595,51,45
Kepler-332 c,non-habitable,0.8161,0.1839,1.09,0.569,0.431,1.03,1.0894,33,61
Kepler-332 d,non-habitable,0.4918,0.5082,1.18,0.5448,0.4552,1.13,1.1795,53,52
Kepler-333 b,non-habitable,0.5272,0.4728,1.32,0.388,0.612,1.3,1.3198,59,62
Kepler-333 c,non-habitable,0.9216,0.0784,1.11,0.6755,0.3245,1.05,1.1094,39,50
Kepler-334 b,non-habitable,0.8549,0.1451,1.12,0.1,0.9,1.06,1.1194,43,43
Kepler-334 c,non-habitable,0.0231,0.9769,1.43,0.6969,0.3031,1.44,1.4301,56,47
Kepler-334 d,non-habitable,0.495,0.505,1.41,0.7047,0.2953,1.41,1.41,46,47
Kepler-336 b,non-habitable,0.4286,0.5714,1.02,0.0,0.0,1.0,1.0198,45,55
Kepler-336 c,non-habitable,0.4676,0.5324,2.09,0.4606,0.5394,2.43,2.0934,50,80
Kepler-336 d,non-habitable,0.1158,0.8842,2.36,0.3522,0.6478,2.97,2.3661,64,65
Kepler-337 b,non-habitable,0.5194,0.4806,1.53,0.3367,0.6633,1.57,1.5304,60,49
Kepler-337 c,non-habitable,0.2529,0.7471,2.05,0.4309,0.5691,2.36,2.0531,65,53
Kepler-338 b,non-habitable,0.638,0.362,2.58,0.9449,0.0551,3.45,2.5887,64,67
Kepler-338 c,non-habitable,0.4718,0.5282,2.48,0.2186,0.7814,3.22,2.4874,50,62
Kepler-338 e,non-habitable,0.8907,0.1093,1.59,0.3674,0.6326,2.33,1.5974,57,67
Kepler-339 b,non-habitable,0.4129,0.5871,1.42,0.9821,0.0179,1.42,1.42,59,52
Kepler-339 c,non-habitable,0.8232,0.1768,1.15,0.3206,0.6794,1.1,1.1495,42,54
Kepler-339 d,non-habitable,0.5487,0.4513,1.16,0.1945,0.8055,1.11,1.1595,53,48
Kepler-341 b,non-habitable,0.4849,0.5151,1.18,0.1604,0.8396,1.13,1.1795,52,52
Kepler-341 c,non-habitable,0.3488,0.6512,1.7,0.9411,0.0589,1.8,1.701,55,55
Kepler-341 d,non-habitable,0.5421,0.4579,1.85,0.0326,0.9674,2.02,1.8517,54,55
Kepler-341 e,non-habitable,0.7198,0.2802,1.99,0.7316,0.2684,2.26,1.9927,63,62
Kepler-342 b,non-habitable,0.6103,0.3897,2.25,0.1596,0.8404,2.73,2.2548,64,53
Kepler-342 c,non-habitable,0.0811,0.9189,1.96,0.0872,0.9128,2.2,1.9624,53,63
Kepler-342 d,non-habitable,0.1377,0.8623,2.49,0.7997,0.2003,3.25,2.4976,66,62
Kepler-342 e,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,63,67
Kepler-343 b,non-habitable,0.8868,0.1132,2.41,0.1843,0.8157,3.07,2.4166,58,67
Kepler-343 c,non-habitable,0.906,0.094,2.02,0.3715,0.6285,2.3,2.0228,60,56
Kepler-345 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,74,80
Kepler-345 c,non-habitable,0.6147,0.3852,1.2,0.6012,0.3988,1.15,1.1995,54,46
Kepler-347 b,non-habitable,0.7878,0.2122,1.97,0.68,0.32,2.22,1.9725,52,75
Kepler-347 c,non-habitable,0.238,0.762,1.75,0.5872,0.4128,1.87,1.7512,51,62
Kepler-348 b,non-habitable,0.4621,0.5379,1.52,0.8423,0.1577,1.56,1.5204,48,57
Kepler-348 c,non-habitable,0.0646,0.9354,1.33,0.6141,0.3859,1.31,1.3298,56,59
Kepler-349 b,non-habitable,0.458,0.542,1.9,0.8245,0.1755,2.11,1.9021,62,60
Kepler-349 c,non-habitable,0.941,0.059,1.96,0.4468,0.5532,2.2,1.9624,59,56
Kepler-350 b,non-habitable,0.6088,0.3912,1.85,0.2404,0.7596,2.02,1.8517,57,51
Kepler-350 d,non-habitable,0.4762,0.5238,2.8,0.9376,0.0624,2.33,2.7953,49,59
Kepler-352 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,72,62
Kepler-352 c,non-habitable,0.7057,0.2943,1.24,0.6866,0.3134,1.21,1.2397,55,42
Kepler-353 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,59,67
Kepler-353 c,non-habitable,0.0156,0.9844,1.38,0.1844,0.8156,1.37,1.3799,64,50
Kepler-354 b,non-habitable,0.1208,0.8792,1.84,0.621,0.379,2.0,1.8416,59,51
Kepler-354 c,non-habitable,0.6929,0.3071,1.31,0.7817,0.2183,1.29,1.3098,51,62
Kepler-354 d,non-habitable,0.7134,0.2866,1.24,0.2983,0.7017,1.21,1.2397,52,62
Kepler-355 b,non-habitable,0.4805,0.5195,1.46,0.715,0.285,1.47,1.4601,56,61
Kepler-356 b,non-habitable,0.1998,0.8002,1.57,0.7783,0.2217,1.62,1.5705,46,61
Kepler-356 c,non-habitable,0.6767,0.3233,1.8,0.1803,0.8197,1.95,1.8015,59,54
Kepler-357 b,non-habitable,0.1147,0.8853,1.84,0.0669,0.9331,2.0,1.8416,60,50
Kepler-360 b,non-habitable,0.6434,0.3566,1.65,0.9461,0.0539,1.72,1.6507,52,50
Kepler-360 c,non-habitable,0.1873,0.8127,2.09,0.7464,0.2536,2.43,2.0934,65,59
Kepler-361 b,non-habitable,0.6749,0.3251,1.44,0.4963,0.5037,1.45,1.4401,57,55
Kepler-362 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,66,65
Kepler-362 c,non-habitable,0.0247,0.9753,1.44,0.1548,0.8452,1.45,1.4401,59,66
Kepler-363 b,non-habitable,0.6268,0.3732,1.15,0.7689,0.2311,1.1,1.1495,50,47
Kepler-363 c,non-habitable,0.5445,0.4555,1.69,0.14,0.86,1.79,1.691,76,59
Kepler-363 d,non-habitable,0.2757,0.7243,2.05,0.037,0.963,2.36,2.0531,58,54
Kepler-364 b,non-habitable,0.6826,0.3174,1.55,0.5869,0.4131,1.59,1.5504,58,57
Kepler-364 c,non-habitable,0.0375,0.9625,2.15,0.7308,0.2692,2.54,2.1539,58,66
Kepler-365 b,non-habitable,0.2779,0.7221,2.04,0.1775,0.8225,2.34,2.043,59,59
Kepler-365 c,non-habitable,0.5128,0.4872,1.64,0.4932,0.5068,1.71,1.6407,57,60
Kepler-366 b,non-habitable,0.8144,0.1856,1.46,0.2413,0.7587,1.47,1.4601,47,61
Kepler-366 c,non-habitable,0.7058,0.2942,1.79,0.8325,0.1675,1.94,1.7915,57,52
Kepler-367 b,non-habitable,0.0472,0.9528,1.3,0.1689,0.8311,1.27,1.2997,53,53
Kepler-367 c,non-habitable,0.8392,0.1608,1.2,0.0822,0.9178,1.15,1.1995,47,61
Kepler-369 b,non-habitable,0.0026,0.9974,1.13,0.647,0.353,1.08,1.1295,43,54
Kepler-369 c,non-habitable,0.0326,0.9674,1.41,0.9222,0.0778,1.41,1.41,57,54
Kepler-370 b,non-habitable,0.3825,0.6175,1.59,0.1528,0.8472,1.65,1.5906,62,49
Kepler-370 c,non-habitable,0.6481,0.3519,1.9,0.6107,0.3893,2.11,1.9021,61,56
Kepler-371 b,non-habitable,0.9604,0.0396,1.89,0.8047,0.1953,2.09,1.892,61,44
Kepler-371 c,non-habitable,0.982,0.018,1.78,0.5062,0.4938,1.92,1.7814,60,62
Kepler-372 b,non-habitable,0.682,0.318,1.36,0.7729,0.2271,1.34,1.3598,56,52
Kepler-372 c,non-habitable,0.3802,0.6198,2.08,0.5467,0.4533,2.41,2.0833,64,58
Kepler-372 d,non-habitable,0.8377,0.1623,1.69,0.2127,0.7873,1.79,1.691,61,50
Kepler-373 b,non-habitable,0.4494,0.5506,1.36,0.3924,0.6076,1.34,1.3598,56,52
Kepler-373 c,non-habitable,0.6763,0.3237,1.24,0.3243,0.6757,1.21,1.2397,68,41
Kepler-374 b,non-habitable,0.553,0.447,1.03,0.0,0.0,1.0,1.0297,42,57
Kepler-374 c,non-habitable,0.086,0.914,1.1,0.8457,0.1543,1.04,1.0994,48,41
Kepler-374 d,non-habitable,0.9737,0.0263,1.31,0.3277,0.6723,1.29,1.3098,41,55
Kepler-375 b,non-habitable,0.5176,0.4824,1.44,0.451,0.549,1.45,1.4401,44,53
Kepler-376 b,non-habitable,0.1072,0.8928,1.06,0.1406,0.4066,1.0,1.0594,37,0
Kepler-376 c,non-habitable,0.549,0.451,1.79,0.3071,0.6929,1.94,1.7915,57,61
Kepler-377 b,non-habitable,0.6284,0.3716,1.39,0.4073,0.5927,1.38,1.3899,47,58
Kepler-377 c,non-habitable,0.0635,0.9365,2.06,0.0273,0.9727,2.37,2.0631,60,62
Kepler-378 b,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,74,71
Kepler-378 c,non-habitable,0.0,0.0,1.0,0.0,0.0,1.0,1.0,61,72
Kepler-379 b,non-habitable,0.3566,0.6434,1.66,0.7439,0.2561,1.74,1.6608,47,56
Kepler-379 c,non-habitable,0.4488,0.5512,2.28,0.0979,0.9021,2.8,2.2852,59,62
Kepler-380 b,non-habitable,0.9444,0.0556,1.19,0.9564,0.0436,1.14,1.1895,50,45
Kepler-380 c,non-habitable,0.9013,0.0987,1.27,0.6962,0.3038,1.23,1.2696,56,54
